,,,
Topic,#,Query,Answer
Strings,1,iterable into a string,"""x"".join(iter) produces iter[0] + ""x"" + iter[1] + ""x"" + ... where iter[n] must be strings for this to work."
Strings,2,break apart a string,"""a/b/c"".split(""/"") # produces [""a"", ""b"", ""c""]"
Visual - df,1,"df plot column A against column B, in blue, transparent","df.plot(x='A', y='B', color='blue', alpha=0.5)"
Visual - df,2,"df plot column A against B, blue scatter plot","df.plot(x='A', y='B', style='b.')"
Visual - df,3,df.plot with secondary y,"df.plot(x='A', y='B"", secondary_y=['C']) # plot column C and label the righthand y axis accordingly (on a different scale)"
Visual - df,4,df bar plot,df.plot(kind='bar') # kind can have many different values for different plot types
Visual - df,5,All of the 'kinds' of df plots,"hist', 'kde' or 'density' (they are the same), 'area', 'scatter', 'hexbin', 'box', 'pie'"
Visual - df,6,Instead of 'kind' for df plots (and why use this?),"df.plot.bar(), df.plot.hist() # advantage is that in jupyter notebook, you can type: df.plot.<TAB> and see the complete list"
Visual - df,7,"df.plot, if no x= and/or y=","If no x=, x values are the index of df; if no y=, y values are every column not used for x (produces multiple plots)"
Visual - df,8,How to plot df time series,"You must set_index the time series to be the index.  If it needs to be a column again, reset_index or return to the old df."
Visual - df,9,df stacked bar plot or hist,"df.plot.bar(stacked=True) # a stacked bar plot
df.plot.hist(stacked=True, bins=20) # a stacked histogram with 20 bins"
Visual - df,10,plot two dfs on same axes,"ax = df.plot(...)
df2.plot(..., ax=ax)"
Visual - df,11,df box and whisker,"df.boxplot(column=""x"", by=""col_to_groupby"") # One plot per ""by"" value.  Returns (ax, lines), I'm not sure of purpose of lines"
Visual - df,12,df scatter_matrix,pandas.plotting.scatter_matrix(df) # shows N histograms and N * (N-1) / 2 distinct scatter plots
Visual - plt,13,Contour plot,"plt.contour(x, y, z) # x, y, and z are two dimensional arrays that specify x, y, and z(x, y) at each array location, respectively
# If you have a function of two variables, x and y, here is how to set up x, y, z:
x, y = np.meshgrid(np.linspace(x1, x2, Nx), np.linspace(y1, y2, Ny))
z = func(np.c_[x.ravel(), y.ravel()]) # np.c_ returns an array of pairs
z = z.reshape(x.shape) # reshapes 1D z to be shaped like x and y"
Visual - plt,14,show a key to the colors,plt.colorbar() # there is no ax.colorbar(); I think there is one colorbar per figure?  You can specify ax=ax as an argument.
Visual - plt,15,how to import matplotlib,import matplotlib.pyplot as plt
Visual - plt,16,"Init matplotlib, keep figure open after cell","%matplotlib notebook # enables some interactive features, you must call plt.figure() if you want a new plot (by default, it will plot on top of the old figure)"
Visual - plt,17,"init matplotlib, close figure after cell",%matplotlib inline # plots are static images.  New plot automatically with each new cell.
Visual - plt,18,What does plt.show() do?,"Ordinarily, a figure isn't displayed until the cell has completed its execution.  You can keep tweaking the graph in various ways before showing it.  If you want to show the figure _before_ the cell terminates (say you want to show multiple figures per cell)), you can use plt.show().  I've also seen this used at the end of a cell, but I'm not sure why.  It seems unnecessary."
Visual - plt,19,"Style / format strings (color, markers, and lines) to pass as arguments to plot function","These can be provided in any order, e.g. ""r-o"" or ""or-""
colors: r, g, b (red green blue), c, m, y (cyan magenta yellow), k, w (black white)
Markers: . (point), o (circle), + (plus), x (x), s (square)
Lines: - (solid line), -- (dashed line), -. (dash dot), : (dotted)"
Visual - plt,20,get current axis,"fig.gca() or plt.gca(), the latter gets the current axis of the current figure"
Visual - plt,21,get current figure,plt.gcf()
Visual - plt,22,clear the axes,"ax.clear() # clear the axes so we don't have to create a new figure, in order to draw a new graph on the same axes"
Visual - plt,23,clear the current figure,"plt.clf() # clear the current figure so we don't have to create a new figure, in order to draw a new graph on the same figure"
Visual - plt,24,set the size of a figure,"plt.rcParams['figure.figsize'] = (16, 9)"
Visual - plt,25,put text on the plot,"ax.text(x=x, y=y, s=""text"", fontsize=14, color=""b"") or plt.text(...)"
Visual - plt,26,draw arrows attaching text to points on the graph,"ax.annotate(...)  or plt.annotate(...) # this function is complex, and I'm not going to fully document it here."
Visual - plt,27,Use LaTeX on a plot,"Just type LaTeX into the string, like ""$\theta_1$"""
Visual - plt,28,x or y axis limits,"ax.set_xlim(xmin, xmax) or plt.set_xlim(...) # same for y"
Visual - plt,29,x or y axis label,"ax.set_xlabel(label_string) or plt.set_xlabel(...) # same for y
plt.xlabel(label_string) # same for y.  There is no ax.xlabel()"
Visual - plt,30,basic plot function,"ax.plot(x, y, 'bo', label=label) or plt.plot(...) # plot arrays x vs. y using blue circle markers.  If a legend is displayed, it will show that blue circle markers correspond to the label."
Visual - plt,31,plot legend,"ax.legend() or plt.legend() # gets the legend from ""label = ..."" keyword in plot statement.  (For df.plot(), you don't need to call legend(); the labels will automatically display.)"
Visual - plt,32,scatter plot where points' properties individualized,"ax.scatter(x, y, s=size, c=colors) or plt.scatter(...) # with ax.plot, points are not individualized"
Visual - plt,33,Error bars on graphs,"ax.errorbar(x=x, y=y, yerr=half_errbar_height, fmt=fmt_string) or plt.errorbar(..) # fmt_string is a style string, like 'bo'"
Visual - plt,34,Label x or y ticks,"ax.xticks(locs, labels) or plt.xticks(...) # locs = (numerical) locations of ticks, labels = their labels.   Same for y."
Visual - plt,35,Display image,"ax.imshow(arr) or plt.imshow(...) # show an image, which can have shape (M, N), (M, N, 3), or (M, N, 4) which are RGB or RGB + alpha (transparency)"
Visual - plt,36,Don't display axis stuff,"ax.axis(""off"") or plt.axis(...) # don't show axis lines, ticks, labels, etc. (as when showing an image)"
Visual - plt,37,"Set all x, y limits at once","ax.axis(xmin, xmax, ymin, ymax) or plt.axis(...)"
Visual - plt,38,"Get all x, y limits at once","xmin, xmax, ymin, ymax = ax.axis() or = plt.axis()"
Visual - plt,39,Save image,"plt.savefig(path, format='png', dpi=300) # there is no ax.savefig, you have to save the whole figure"
Visual - plt,40,"Plot a grid of subplots, choose which will be the current one (two ways)","ax = plt.subplot(num_horiz, num_vert, cur_num, sharey=ax_prev) # using a grid of num_horiz x num_vert subplots, sets the current to cur_num.
# E.g. cur_num = 1 is the upper left cell. The current axes is made to share y coordinates with a previously defined axes, ax_prev.  Note its plt.subplot not fig.subplot
ax = fig.add_subpplot('122')
# assumes a 1 x 2 array of plots, gets an axes for second one.  plt.subplot is a wrapper for this.  Note it's fig not plt in this case"
Visual - plt,41,Create a grid of subplots and return an axes for every one,"fig, ((ax1, ax2, ax3), (ax4,ax5,ax6), (ax7, ax8, ax9)) = plt.subplots(3, 3, sharex=True, sharey=True)
# Note that subplot and subplots are different; the latter creates multiple axes at once.
# sharex means that all created axes share the same x coordinates; sharey is the same."
Visual - plt,42,Plot histogram,"ax.hist(arr, bins = 100) or plt.hist(...) # creates a histogram of the array"
Visual - plt,43,Create plots that take up more than one grid cell,import matplotlib.gridspec as gridspec 
Visual - plt,44,How to deal with color maps with images or scatter plots,"# The main uses of color maps are (1) with plt.scatter, where you can specify c=arr a list of numbers to map to colors, or
# (2) imshow, where the in the case of a 2D (M, N) array, numbers for each pixel can be mapped to colors (in which case there is no c=)
# In both cases, use cmap = 'name of built in color map' or cmap = plt.get_cmap('name')
# The result will be that the 1D ""c"" or 2D array values are mapped to colors accordingly.  You can also call plt.colorbar()
# list of color maps: https://matplotlib.org/examples/color/colormaps_reference.html"
Visual - sea,45,How to import seaborn,import seaborn as sns
Visual - sea,46,seaborn whitegrid style,sns.set_style('whitegrid')
Visual - sea,47,seaborn violin plot,"sns.violinplot(x =, y =, hue =, data =, ax = )
x = categorical, create one plot for each x value
y = numerical, y-axis of plot, shows histogram bins
hue = a second categorical variable; plots all combinations of x times hue on x axis
where x is shown by position and hue is shown by the color of the violin
data = DataFrame to get the data from
ax = axes to plot on (optional)
split = True will split the violin into two hues (if the ""hue"" column has two values)"
Visual - sea,48,seaborn distplot,"sns.distplot(data_values, rug=True)
Combines a histogram, kde (kernel density estimate or curve fitting the histogram), and rugplot (each data item is a vertical line attached to the x-axis)."
Visual - img,49,Remove image noise,"from skimage.io import imread
img = imread(""file.jpg"")
from skimage.restoration import denoise_tv_chambolle
denoised_image = denoise_tv_chambolle(img, weight=?, multichannel=?)
# This removes noise from an image, which has been read in using imread"
